RP,PERSPVALUE,EP,RP,PERSPVALUE,EP,RP,PERSPVALUE,EP,RP,PERSPVALUE,EP
0,,,6,0,0.1789152077,0,,,6,9908828.088,0.1789152077
0,,,7,126.69148,0.1425002897,0,,,7,12440941.23,0.1425002897
0,,,7,253.3829601,0.1390783223,0,,,7,12747041.02,0.1390783223
0,,,7,380.0744401,0.1369292349,0,,,7,12947099.27,0.1369292349
0,,,7,506.7659202,0.1353282357,0,,,7,13100264.54,0.1353282357
0,,,8,760.1488803,0.1329413926,0,,,8,13335456.63,0.1329413926
6,0,0.1789152077,8,1013.53184,0.1311431881,6,9993114.493,0.1789152077,8,13518297.12,0.1311431881
9,19003.72201,0.1091549912,8,1520.297761,0.1284543225,9,16373573.79,0.1091549912,8,13801241.88,0.1284543225
10,38007.44401,0.1005377303,8,2027.063681,0.1264418646,10,17774537.55,0.1005377303,8,14020875.21,0.1264418646
10,57011.16602,0.0957626337,8,3040.595521,0.1234694379,10,18658475.99,0.0957626337,8,14358355.43,0.1234694379
11,76014.88803,0.09235836583,8,4054.127361,0.1212599177,11,19343763.37,0.09235836583,8,14619919.5,0.1212599177
11,95018.61003,0.08959205676,8,6081.191042,0.117978102,11,19938394.9,0.08959205676,8,15026463.17,0.117978102
11,114022.332,0.08730526043,9,8108.254723,0.1155154043,11,20457905.77,0.08730526043,9,15346664.31,0.1155154043
12,133026.054,0.08537480586,9,12162.38208,0.1118395954,12,20917697.15,0.08537480586,9,15850726.85,0.1118395954
12,152029.7761,0.08368206373,9,16216.50945,0.1090785323,12,21337942.57,0.08368206373,9,16251591.05,0.1090785323
12,171033.4981,0.082173905,10,24324.76417,0.1049639185,12,21726598.67,0.082173905,10,16887863.18,0.1049639185
12,190037.2201,0.08081385834,10,28378.89153,0.1033311279,12,22089205.43,0.08081385834,10,17154300.95,0.1033311279
13,209040.9421,0.07960574302,10,32433.01889,0.1018868601,13,22421408.11,0.07960574302,10,17397035.79,0.1018868601
13,228044.6641,0.07844476438,10,40541.27361,0.09941328683,13,22750009.42,0.07844476438,10,17828996.05,0.09941328683
13,247048.3861,0.07741909544,10,48649.52834,0.09733889253,13,23048260.56,0.07741909544,10,18208000.35,0.09733889253
13,266052.1081,0.07643738273,10,56757.78306,0.09554976805,13,23340982.67,0.07643738273,10,18547949.75,0.09554976805
13,285055.8301,0.07552868958,11,64866.03778,0.09397539407,13,23618485.13,0.07552868958,11,18857665.6,0.09397539407
13,304059.5521,0.07467848948,11,81082.54723,0.09129726635,13,23884023.51,0.07467848948,11,19408698.55,0.09129726635
14,323063.2741,0.07386226716,11,97299.05667,0.08906890238,14,24144491.24,0.07386226716,11,19892042.28,0.08906890238
14,342066.9961,0.07311288442,11,113515.5661,0.087159207,14,24388555.57,0.07311288442,11,20325575.88,0.087159207
14,361070.7181,0.07238469624,12,129732.0756,0.0854874011,14,24630367.03,0.07238469624,12,20720687.74,0.0854874011
14,380074.4401,0.07170251145,12,145948.585,0.08400007007,14,24861177.12,0.07170251145,12,21085133.96,0.08400007007
14,399078.1621,0.07104808351,12,162165.0945,0.08266003075,14,25086586.43,0.07104808351,12,21424457.16,0.08266003075
14,418081.8841,0.07041867529,12,178381.6039,0.08144033064,14,25307160.59,0.07041867529,12,21742772.8,0.08144033064
14,456089.3282,0.06924397387,12,194598.1133,0.0803208114,14,25729073.29,0.06924397387,12,22043226.35,0.0803208114
15,494096.7722,0.0681633319,13,227031.1322,0.07832373653,15,26129442.67,0.0681633319,13,22599902.56,0.07832373653
15,513100.4942,0.06765004104,13,259464.1511,0.07657992986,15,26323877.31,0.06765004104,13,23108987.44,0.07657992986
15,551107.9382,0.06667394147,13,291897.17,0.07503124154,15,26701466.19,0.06667394147,13,23580280.13,0.07503124154
15,570111.6602,0.06621571474,14,324330.1889,0.07363756222,15,26882366.44,0.06621571474,14,24020733.83,0.07363756222
15,608119.1042,0.06533151674,14,356763.2078,0.07237005051,15,27238219.8,0.06533151674,14,24435476.04,0.07237005051
16,646126.5482,0.06449772334,14,389196.2267,0.07120728594,16,27582234.38,0.06449772334,14,24828399.57,0.07120728594
16,684133.9922,0.06372432646,14,421629.2456,0.07013291799,16,27908916.6,0.06372432646,14,25202535.92,0.07013291799
16,722141.4363,0.06297046393,14,454062.2645,0.06913419094,16,28234615.6,0.06297046393,14,25560291.84,0.06913419094
16,779152.6023,0.06191471694,15,486495.2834,0.0682009502,16,28703262.13,0.06191471694,15,25903615.83,0.0682009502
16,817160.0463,0.06126311617,15,518928.3023,0.06732498725,16,29000063.69,0.06126311617,15,26234106.06,0.06732498725
16,855167.4903,0.0606269937,15,551361.3212,0.06649955359,16,29295570.5,0.0606269937,15,26553097.5,0.06649955359
17,912178.6563,0.05972483793,15,583794.34,0.0657190548,17,29724737.96,0.05972483793,15,26861709.16,0.0657190548
17,950186.1003,0.05915991661,15,616227.3589,0.0649787757,17,29999689.22,0.05915991661,15,27160898.95,0.0649787757
17,988193.5443,0.05860932408,16,648660.3778,0.06427472003,17,30272409.92,0.05860932408,16,27451487.68,0.06427472003
17,1045204.71,0.0578211913,16,713526.4156,0.06296202829,17,30671180.41,0.0578211913,16,28009622.1,0.06296202829
17,1083212.154,0.05732222683,16,778392.4534,0.06175869832,17,30928895.92,0.05732222683,16,28540837.67,0.06175869832
18,1121219.598,0.05683651348,16,843258.4912,0.06064766928,18,31183788.7,0.05683651348,16,29048834.92,0.06064766928
18,1178230.764,0.05613628358,17,908124.529,0.05961558794,18,31558426.06,0.05613628358,17,29536576.07,0.05961558794
18,1235241.93,0.05546737009,17,972990.5667,0.05865178437,18,31924454.86,0.05546737009,17,30006484.11,0.05865178437
18,1292253.096,0.05482945421,17,1037856.605,0.05774761085,18,32281178.31,0.05482945421,17,30460563.35,0.05774761085
19,1368267.984,0.05401865053,18,1102722.642,0.05689593634,19,32745742.27,0.05401865053,18,30900505.96,0.05689593634
19,1425279.15,0.05343742992,18,1167588.68,0.05609084379,19,33086714.25,0.05343742992,18,31327739,0.05609084379
19,1482290.317,0.05287978169,18,1232454.718,0.05532734112,19,33420302,0.05287978169,18,31743493.52,0.05532734112
19,1558305.205,0.05216420925,18,1297320.756,0.05460120188,19,33857896.36,0.05216420925,18,32148827.31,0.05460120188
19,1615316.371,0.05165049005,19,1362186.793,0.05390879895,19,34178866.72,0.05165049005,19,32544666.53,0.05390879895
20,1672327.537,0.05115368579,19,1427052.831,0.05324701974,20,34494846.86,0.05115368579,19,32931814.08,0.05324701974
20,1729338.703,0.05067225865,19,1491918.869,0.05261315539,20,34806416.32,0.05067225865,19,33310981.35,0.05261315539
20,1805353.591,0.05005185135,19,1556784.907,0.05200485286,20,35215945.23,0.05005185135,19,33682790.64,0.05200485286
20,1881368.479,0.04946290926,19,1621650.945,0.0514200365,20,35613303.98,0.04946290926,19,34047801.01,0.0514200365
20,1957383.367,0.04888423439,20,1686516.982,0.05085689287,20,36012161.19,0.04888423439,20,34406499.98,0.05085689287
21,2071405.699,0.04806140618,20,1751383.02,0.05031380527,21,36594214.93,0.04806140618,20,34759329.65,0.05031380527
21,2204431.753,0.04715443086,20,1816249.058,0.04978934643,21,37256952.44,0.04715443086,20,35106679.04,0.04978934643
22,2337457.807,0.04629858411,20,1945981.133,0.04879132177,22,37903681.97,0.04629858411,20,35786306.71,0.04879132177
22,2470483.861,0.04548803331,21,2075713.209,0.04785409751,22,38536250.96,0.04548803331,21,36447800.33,0.04785409751
22,2603509.915,0.04471804856,21,2205445.285,0.04697056696,22,39156109.77,0.04471804856,21,37093129.52,0.04697056696
23,2717532.247,0.04408714969,22,2335177.36,0.04613489173,23,39678371.38,0.04408714969,22,37723900.84,0.04613489173
23,2850558.301,0.04338242914,22,2464909.436,0.04534218761,23,40277696.73,0.04338242914,22,38341457.45,0.04534218761
23,2983584.355,0.04270901142,22,2594641.511,0.0445883459,23,40866783.35,0.04270901142,22,38946914.74,0.0445883459
24,3116610.409,0.04206495467,23,2724373.587,0.04386984961,24,41445794.84,0.04206495467,23,39541226.5,0.04386984961
24,3230632.741,0.04153470806,23,2854105.662,0.0431836892,24,41934390.79,0.04153470806,23,40125191.4,0.0431836892
24,3363658.795,0.04093799195,24,2983837.738,0.04252723605,24,42497570.99,0.04093799195,24,40699508.99,0.04252723605
25,3496684.849,0.04036448286,24,3113569.814,0.04189820257,25,43052650.78,0.04036448286,24,41264774.7,0.04189820257
25,3629710.903,0.03981261746,24,3243301.889,0.04129455208,25,43600036.61,0.03981261746,24,41821527.01,0.04129455208
25,3743733.235,0.03935679212,25,3373033.965,0.04071450074,25,44062307.52,0.03935679212,25,42370219.12,0.04071450074
26,3876759.289,0.03884147253,25,3502766.04,0.040156435,26,44596341.75,0.03884147253,25,42911272.96,0.040156435
26,4009785.343,0.03834410537,25,3632498.116,0.03961891774,26,45123658.82,0.03834410537,25,43445055.49,0.03961891774
26,4123807.675,0.03793199943,26,3762230.191,0.03910063797,26,45569714.32,0.03793199943,26,43971911.97,0.03910063797
27,4256833.729,0.0374652119,26,3891962.267,0.03860042312,27,46085269.53,0.0374652119,26,44492140.28,0.03860042312
27,4389859.784,0.03701355262,26,4021694.343,0.03811719028,27,46594870.98,0.03701355262,26,45006028.99,0.03811719028
27,4503882.116,0.03663830763,27,4151426.418,0.03764996382,27,47026545.54,0.03663830763,27,45513829.17,0.03764996382
28,4636908.17,0.03621258608,27,4281158.494,0.03719782444,28,47525667.54,0.03621258608,27,46015800.54,0.03719782444
28,4769934.224,0.03579975927,27,4410890.569,0.0367599565,28,48019474.54,0.03579975927,27,46512152.03,0.0367599565
28,4902960.278,0.03539916178,28,4540622.645,0.03633558432,28,48508158.76,0.03539916178,28,47003105.38,0.03633558432
29,5035986.332,0.03501016894,28,4670354.72,0.03592400397,29,48991910.7,0.03501016894,28,47488853.73,0.03592400397
29,5188016.108,0.03457852488,28,4800086.796,0.03552454704,29,49539664.03,0.03457852488,28,47969598.36,0.03552454704
30,5454068.216,0.03385695795,28,4929818.871,0.03513661147,30,50482061.03,0.03385695795,28,48445507.23,0.03513661147
30,5701116.602,0.03322066525,29,5059550.947,0.03475962052,30,51342139.7,0.03322066525,29,48916759.98,0.03475962052
31,5967168.71,0.0325682063,29,5189283.023,0.03439305,31,52253829.45,0.0325682063,29,49383510.73,0.03439305
31,6233220.818,0.0319479984,30,5448747.174,0.03368918637,31,53149811.98,0.0319479984,30,50304144.3,0.03368918637
32,6480269.204,0.03139788146,30,5708211.325,0.03302142561,32,53969665.35,0.03139788146,30,51208588.71,0.03302142561
32,6746321.312,0.03083088631,31,5967675.476,0.03238658772,32,54840572.27,0.03083088631,31,52097938.5,0.03238658772
33,6993369.698,0.03032721187,31,6227139.627,0.0317818801,33,55637270.27,0.03032721187,31,52973181.62,0.0317818801
34,7259421.807,0.02980606591,32,6486603.778,0.03120480576,34,56485461.59,0.02980606591,32,53835262.8,0.03120480576
34,7525473.915,0.02930618417,33,6746067.929,0.03065317135,34,57322851.43,0.02930618417,33,54685014.53,0.03065317135
35,7772522.301,0.0288601233,33,7005532.081,0.03012499935,35,58090608.45,0.0288601233,33,55523238.23,0.03012499935
35,8038574.409,0.02839688609,34,7264996.232,0.02961853762,35,58909275.22,0.02839688609,34,56350647.65,0.02961853762
36,8285622.795,0.02798261298,34,7524460.383,0.02913219692,36,59660570,0.02798261298,34,57167930.87,0.02913219692
36,8551674.903,0.02755143606,35,7783924.534,0.02866457223,36,60462500.38,0.02755143606,35,57975682.21,0.02866457223
37,8798723.289,0.02716499261,35,8043388.685,0.02821437881,37,61199215.59,0.02716499261,35,58774480.4,0.02821437881
37,9064775.397,0.02676206245,36,8302852.836,0.02778047297,37,61986155.64,0.02676206245,36,59564827.82,0.02778047297
38,9311823.783,0.02640023837,37,8562316.987,0.02736179358,38,62709767.88,0.02640023837,37,60347233.27,0.02736179358
38,9577875.891,0.02602237443,37,8821781.138,0.02695741364,38,63483213.5,0.02602237443,37,61122096.93,0.02695741364
39,9824924.277,0.02568247947,38,9081245.29,0.02656646063,39,64194989.32,0.02568247947,38,61889841.16,0.02656646063
39,10090976.39,0.02532701908,38,9340709.441,0.02618815918,39,64956196.9,0.02532701908,38,62650814.49,0.02618815918
40,10338024.77,0.02500679428,39,9600173.592,0.02582177872,40,65657192.33,0.02500679428,39,63405380.99,0.02582177872
41,10604076.88,0.02467147852,39,9859637.743,0.02546667393,41,66407239.93,0.02467147852,39,64153826.54,0.02546667393
41,10851125.27,0.02436899118,40,10119101.89,0.02512223365,41,67098379.99,0.02436899118,40,64896452.4,0.02512223365
42,11117177.37,0.02405189788,40,10378566.05,0.02478791209,42,67838173.82,0.02405189788,40,65633500.24,0.02478791209
42,11364225.76,0.02376550085,41,10638030.2,0.02446317987,42,68520227.54,0.02376550085,41,66365250.13,0.02446317987
43,11630277.87,0.02346496778,41,10897494.35,0.02414757978,43,69250562.63,0.02346496778,41,67091889.09,0.02414757978
43,11877326.25,0.02319322816,42,11156958.5,0.02384066336,43,69924213.92,0.02319322816,42,67813646.1,0.02384066336
44,12143378.36,0.02290781698,42,11416422.65,0.02354203101,44,70645769.51,0.02290781698,42,68530694.58,0.02354203101
44,12390426.75,0.02264949487,43,11675886.8,0.02325129185,44,71311592.42,0.02264949487,43,69243241.53,0.02325129185
45,12637475.13,0.02239721387,44,11935350.95,0.02296810345,45,71973885.84,0.02239721387,44,69951426.61,0.02296810345
45,12903527.24,0.02213193904,44,12194815.1,0.02269212883,45,72683501.38,0.02213193904,44,70655422.33,0.02269212883
46,13150575.63,0.02189150435,45,12454279.25,0.02242306867,46,73338708.98,0.02189150435,45,71355349.49,0.02242306867
46,13397624.01,0.02165643199,45,12713743.41,0.02216061514,46,73990687.56,0.02165643199,45,72051392.68,0.02216061514
47,13663676.12,0.02140899915,46,12973207.56,0.02190451546,47,74689449.74,0.02140899915,46,72743630.26,0.02190451546
47,13929728.23,0.02116733473,46,13232671.71,0.02165450499,47,75384653.49,0.02116733473,46,73432207.4,0.02165450499
48,14214784.06,0.02091447626,47,13492135.86,0.02141034994,48,76125927.53,0.02091447626,47,74117219.37,0.02141034994
48,14518843.61,0.02065132679,47,13751600.01,0.02117181474,48,76912892.87,0.02065132679,47,74798798.68,0.02117181474
49,15050947.83,0.02020717672,48,14011064.16,0.02093869434,49,78278454.94,0.02020717672,48,75477021.66,0.02093869434
51,15564048.32,0.01979691983,48,14270528.31,0.02071078204,51,79583419.02,0.01979691983,48,76151997.65,0.02071078204
52,16077148.82,0.01940316539,49,14529992.46,0.02048789252,52,80877377.65,0.01940316539,49,76823800.02,0.02048789252
53,16590249.31,0.01902480642,50,15048920.77,0.02005644519,53,82161000.7,0.01902480642,50,78158261.41,0.02005644519
54,17122353.53,0.01864742291,51,15567849.07,0.01964302467,54,83482626.58,0.01864742291,51,79481042.85,0.01964302467
55,17635454.02,0.01829754821,52,16086777.37,0.01924641631,55,84746622.18,0.01829754821,52,80792746.88,0.01924641631
56,18148554.52,0.01796039107,53,16605705.67,0.01886553615,56,86001634.47,0.01796039107,53,82093870.51,0.01886553615
57,18661655.01,0.01763522487,54,17124633.97,0.01849937443,57,87248009.66,0.01763522487,54,83384954.89,0.01849937443
58,19174755.5,0.01732136451,55,17643562.28,0.01814704025,58,88486134.81,0.01732136451,55,84666395.71,0.01814704025
59,19706859.72,0.0170070018,56,18162490.58,0.01780769673,59,89762390.11,0.0170070018,56,85938638.63,0.01780769673
60,20219960.22,0.01671432492,57,18681418.88,0.0174805928,60,90984608.03,0.01671432492,57,87202038.16,0.0174805928
61,20733060.71,0.01643121461,58,19200347.18,0.01716501913,61,92199464.6,0.01643121461,58,88456998.8,0.01716501913
62,21246161.2,0.01615716852,59,19719275.49,0.01686034468,62,93407274.17,0.01615716852,59,89703810.83,0.01686034468
63,21759261.7,0.01589174048,60,20238203.79,0.01656596989,63,94608243.11,0.01589174048,60,90942814.83,0.01656596989
64,22272362.19,0.01563450008,61,20757132.09,0.0162813528,64,95802634.11,0.01563450008,61,92174278.38,0.0162813528
65,22804466.41,0.01537584961,62,21276060.39,0.01600597308,65,97035074.94,0.01537584961,62,93398532.79,0.01600597308
66,23317566.9,0.01513410112,64,21794988.69,0.01573937229,66,98216718.75,0.01513410112,64,94615781.76,0.01573937229
67,23830667.4,0.01489942046,65,22313917,0.01548110502,67,99392413.79,0.01489942046,65,95826303.61,0.01548110502
68,24343767.89,0.01467148171,66,22832845.3,0.01523076873,68,100562368.7,0.01467148171,66,97030304.87,0.01523076873
69,24856868.38,0.01444998823,67,23351773.6,0.01498797487,69,101726736.4,0.01444998823,67,98228044.52,0.01498797487
70,25369968.88,0.01423464642,68,23870701.9,0.01475237634,70,102885743.1,0.01423464642,68,99419690.47,0.01475237634
71,25883069.37,0.01402520046,69,24389630.21,0.0145236361,71,104039497.1,0.01402520046,69,100605464,0.0145236361
72,26415173.59,0.0138138804,70,24908558.51,0.01430144995,72,105231037.7,0.0138138804,70,101785516,0.01430144995
73,26928274.08,0.01361568724,71,25427486.81,0.01408551323,73,106374565.7,0.01361568724,71,102960093.7,0.01408551323
75,27441374.58,0.01342266833,72,25946415.11,0.01387556649,75,107513319.7,0.01342266833,72,104129288.8,0.01387556649
76,27954475.07,0.01323462124,73,26465343.42,0.01367134596,76,108647394.6,0.01323462124,73,105293297.1,0.01367134596
77,28467575.57,0.01305134605,74,26984271.72,0.01347261516,77,109776932.6,0.01305134605,74,106452239,0.01347261516
78,28980676.06,0.01287266146,75,27503200.02,0.01327913907,78,110902021.4,0.01287266146,75,107606301.1,0.01327913907
79,29493776.55,0.01269838335,76,28022128.32,0.0130907119,79,112022824.4,0.01269838335,76,108755567.2,0.0130907119
80,29987873.33,0.01253461957,77,28541056.62,0.01290712639,80,113097832,0.01253461957,77,109900195,0.01290712639
81,30500973.82,0.01236852398,79,29059984.93,0.01272819841,81,114210461.6,0.01236852398,79,111040262.1,0.01272819841
82,31014074.31,0.01220637434,80,29578913.23,0.01255373572,82,115319051.6,0.01220637434,80,112175958.6,0.01255373572
83,31527174.81,0.01204802449,81,30097841.53,0.01238357956,83,116423718.7,0.01204802449,81,113307315.4,0.01238357956
84,32040275.3,0.0118933426,82,30616769.83,0.01221756239,84,117524525.6,0.0118933426,82,114434473.6,0.01221756239
85,32553375.8,0.01174219934,83,31135698.14,0.01205553654,85,118621559.6,0.01174219934,83,115557492.4,0.01205553654
86,33066476.29,0.01159447612,84,31654626.44,0.01189734946,86,119714870.8,0.01159447612,84,116676514.2,0.01189734946
87,33560573.06,0.01145536125,85,32173554.74,0.01174287037,87,120764136,0.01145536125,85,117791575.7,0.01174287037
88,34073673.56,0.01131400701,86,32692483.04,0.01159196443,88,121850429.2,0.01131400701,86,118902786.2,0.01159196443
89,34586774.05,0.01117574251,87,33211411.34,0.01144451377,89,122933215.2,0.01117574251,87,120010173.4,0.01144451377
91,35099874.55,0.01104046677,88,33730339.65,0.01130038553,91,124012556,0.01104046677,88,121113919.5,0.01130038553
92,35631978.76,0.01090321891,90,34249267.95,0.01115948201,92,125128424.6,0.01090321891,90,122213979.1,0.01115948201
93,36164082.98,0.01076897839,91,34768196.25,0.01102168896,93,126240724.6,0.01076897839,91,123310469.2,0.01102168896
94,36715190.92,0.01063298879,92,35287124.55,0.01088690727,94,127389227.1,0.01063298879,92,124403424.8,0.01088690727
95,37342313.74,0.0104817743,93,35806052.86,0.01075503349,95,128692805.3,0.0104817743,93,125492950.6,0.01075503349
98,38311503.57,0.01025604362,94,36324981.16,0.01062598038,98,130692720.9,0.01025604362,94,126579051.7,0.01062598038
98,38767592.89,0.01015324345,95,36843909.46,0.01049965431,98,131625758.8,0.01015324345,95,127661817.4,0.01049965431
100,39503417.01,0.009989474296,96,37362837.76,0.01037597619,100,133142059.9,0.009989474296,96,128741243.3,0.01037597619
102,40476407.58,0.009780665197,99,38400694.37,0.01013621633,102,135130781.1,0.009780665197,99,130890413.7,0.01013621633
104,41449398.14,0.00957984835,101,39438550.97,0.009906097345,104,137104768.1,0.00957984835,101,133026898.3,0.009906097345
105,41838594.37,0.009501984397,103,40476407.58,0.009685048828,105,137887020.8,0.009501984397,103,135151085.5,0.009685048828
107,42616986.82,0.009347962675,106,41514264.18,0.009472557535,107,139463150.3,0.009347962675,106,137263216,0.009472557535
109,43589977.39,0.009161995374,108,42552120.79,0.00926813189,109,141419028.5,0.009161995374,108,139363688.8,0.00926813189
112,44660267.01,0.008965062355,110,43589977.39,0.0090713388,112,143556256.6,0.008965062355,110,141452655.6,0.0090713388
114,45633257.58,0.008792307268,113,44627833.99,0.008881760519,114,145489849.2,0.008792307268,113,143530426.2,0.008881760519
116,46703547.2,0.008608782733,115,45665690.6,0.008699019258,116,147607212.7,0.008608782733,115,145597182.7,0.008699019258
119,47773836.83,0.008431998514,117,46703547.2,0.008522751274,119,149711526.5,0.008431998514,117,147653238.5,0.008522751274
121,48746827.39,0.008276643846,120,47741403.81,0.008352633569,121,151615790.7,0.008276643846,120,149698707.3,0.008352633569
123,49817117.02,0.008111336447,122,48779260.41,0.008188351117,123,153701333.2,0.008111336447,122,151733860,0.008188351117
126,50887406.64,0.007951807539,125,49817117.02,0.008029621481,126,155774719,0.007951807539,125,153758809.4,0.008029621481
128,51860397.21,0.007811400524,127,50854973.62,0.00787616042,128,157651284.8,0.007811400524,127,155773924.1,0.00787616042
131,52930686.83,0.007661765227,129,51892830.23,0.007727728303,131,159706943.5,0.007661765227,129,157779211.5,0.007727728303
133,53903677.4,0.007530160974,132,52930686.83,0.007584080105,133,161564564.4,0.007530160974,132,159774950.6,0.007584080105
135,54973967.02,0.007389654578,134,53968543.44,0.007444997893,135,163601446.1,0.007389654578,134,161761245.7,0.007444997893
138,56044256.64,0.007253607986,137,55006400.04,0.007310263555,138,165628794.9,0.007253607986,137,163738392,0.007310263555
140,57017247.21,0.007133778928,139,56044256.64,0.007179688018,140,167461360.2,0.007133778928,139,165706441.2,0.007179688018
